"Time","Industrial Engineering","gerenciamento de projetos industriais","engenharia de projetos","engenharia necessária"
"2021-06-01",18,0,60,0
"2021-07-01",18,0,49,0
"2021-08-01",18,0,53,0
"2021-09-01",17,0,59,0
"2021-10-01",14,0,57,3
"2021-11-01",21,0,54,4
"2021-12-01",15,0,43,0
"2022-01-01",19,0,61,0
"2022-02-01",27,0,73,3
"2022-03-01",23,0,76,3
"2022-04-01",21,0,88,4
"2022-05-01",21,0,70,4
"2022-06-01",20,0,66,4
"2022-07-01",18,0,60,2
"2022-08-01",18,0,59,5
"2022-09-01",14,0,63,2
"2022-10-01",15,0,57,3
"2022-11-01",17,0,66,4
"2022-12-01",16,0,46,0
"2023-01-01",18,0,55,0
"2023-02-01",23,0,68,0
"2023-03-01",24,0,73,2
"2023-04-01",19,0,78,3
"2023-05-01",24,0,72,4
"2023-06-01",25,0,73,0
"2023-07-01",21,0,63,0
"2023-08-01",23,0,67,3
"2023-09-01",18,0,66,2
"2023-10-01",23,0,65,0
"2023-11-01",20,0,75,0
"2023-12-01",20,0,60,0
"2024-01-01",27,0,67,3
"2024-02-01",20,0,87,0
"2024-03-01",25,0,87,4
"2024-04-01",23,0,92,5
"2024-05-01",17,0,89,3
"2024-06-01",19,0,95,11
"2024-07-01",18,0,87,0
"2024-08-01",23,0,86,5
"2024-09-01",17,0,94,9
"2024-10-01",22,0,93,8
"2024-11-01",20,0,92,10
"2024-12-01",21,0,73,3
"2025-01-01",34,0,82,4
"2025-02-01",23,0,96,4
"2025-03-01",29,0,98,4
"2025-04-01",25,0,94,8
"2025-05-01",38,0,90,5
"2025-06-01",36,0,90,4
"2025-07-01",28,0,85,4
"2025-08-01",24,0,90,8
"2025-09-01",20,0,100,6
"2025-10-01",24,0,94,11
"2025-11-01",48,0,82,7
"2025-12-01",42,0,66,3
"2026-01-01",43,0,69,3
"2026-02-01",47,0,77,3
"2026-03-01",33,0,88,6
"2026-04-01",39,0,88,8
"2026-05-01",28,0,93,8
"2026-06-01",28,1,84,8